date,open,high,low,close,volume,symbol,daily_return,cumulative_return,equity_curve,daily_return_pct,cumulative_return_pct
2025-03-07,6400,6825,6225,6475,22735800,BREN,0.02371541501976293,-0.3166226912928758,683377,2.37,-31.66
2025-03-10,6500,6600,6225,6225,9591300,BREN,-0.038610038610038644,-0.34300791556728216,656992,-3.86,-34.3
2025-03-11,6050,6225,6050,6150,8972200,BREN,-0.012048192771084376,-0.35092348284960406,649077,-1.2,-35.09
2025-03-12,6175,6250,6100,6150,5643400,BREN,0.0,-0.35092348284960406,649077,0.0,-35.09
2025-03-13,6200,6200,6025,6075,5912700,BREN,-0.012195121951219523,-0.35883905013192596,641161,-1.22,-35.88
2025-03-14,6150,6150,6000,6025,6515500,BREN,-0.008230452674897082,-0.3641160949868072,635884,-0.82,-36.41
2025-03-17,6050,6100,5700,5725,13714900,BREN,-0.049792531120331995,-0.3957783641160948,604222,-4.98,-39.58
2025-03-18,5775,5825,4580,5050,49691200,BREN,-0.11790393013100442,-0.4670184696569919,532982,-11.79,-46.7
2025-03-19,5125,5400,4940,5300,21392000,BREN,0.04950495049504955,-0.4406332453825855,559367,4.95,-44.06
2025-03-20,5350,5800,5325,5600,23914000,BREN,0.05660377358490565,-0.4089709762532979,591029,5.66,-40.9
2025-03-21,5675,6350,5400,5975,44922600,BREN,0.06696428571428581,-0.3693931398416883,630607,6.7,-36.94
2025-03-24,6000,6100,5100,5450,25866200,BREN,-0.08786610878661083,-0.4248021108179416,575198,-8.79,-42.48
2025-03-25,5525,5625,5125,5125,15840600,BREN,-0.059633027522935755,-0.4591029023746699,540897,-5.96,-45.91
2025-03-26,5150,5575,5125,5450,15462000,BREN,0.06341463414634152,-0.4248021108179416,575198,6.34,-42.48
2025-03-27,5500,5675,5350,5500,10002700,BREN,0.00917431192660545,-0.4195250659630604,580475,0.92,-41.95
2025-04-08,4790,4980,4690,4740,23613500,BREN,-0.13818181818181818,-0.4997361477572557,500264,-13.82,-49.97
2025-04-09,4700,4820,4170,4250,24074500,BREN,-0.1033755274261603,-0.5514511873350921,448549,-10.34,-55.15
2025-04-10,4700,5175,4620,5000,32828300,BREN,0.17647058823529416,-0.4722955145118731,527704,17.65,-47.23
2025-04-11,5000,5450,4890,5150,19504500,BREN,0.030000000000000027,-0.4564643799472293,543536,3.0,-45.65
2025-04-14,4800,5675,4760,5650,33865700,BREN,0.09708737864077666,-0.4036939313984167,596306,9.71,-40.37
2025-04-15,5750,6050,5575,5900,27318000,BREN,0.04424778761061954,-0.3773087071240103,622691,4.42,-37.73
2025-04-16,5975,6050,5600,5600,20798300,BREN,-0.05084745762711862,-0.4089709762532979,591029,-5.08,-40.9
2025-04-17,5600,5725,5525,5600,8101700,BREN,0.0,-0.4089709762532979,591029,0.0,-40.9
2025-04-21,5625,5800,5525,5600,6984400,BREN,0.0,-0.4089709762532979,591029,0.0,-40.9
2025-04-22,5600,6025,5475,6000,21718600,BREN,0.0714285714285714,-0.36675461741424775,633245,7.14,-36.68
2025-04-23,6200,6375,6050,6100,20022000,BREN,0.016666666666666607,-0.3562005277044853,643799,1.67,-35.62
2025-04-24,6100,6175,5850,6000,55496500,BREN,-0.016393442622950838,-0.36675461741424786,633245,-1.64,-36.68
2025-04-25,6050,6050,5925,6000,9172000,BREN,0.0,-0.36675461741424786,633245,0.0,-36.68
2025-04-28,6050,6250,5900,6050,26241400,BREN,0.008333333333333304,-0.36147757255936663,638522,0.83,-36.15
2025-04-29,6100,6175,6025,6025,8116900,BREN,-0.004132231404958664,-0.3641160949868073,635884,-0.41,-36.41
2025-04-30,6050,6125,5950,6025,7406500,BREN,0.0,-0.3641160949868073,635884,0.0,-36.41
2025-05-02,6100,6150,6025,6100,11343400,BREN,0.012448132780082943,-0.3562005277044854,643799,1.24,-35.62
2025-05-05,6150,6375,6125,6150,14416100,BREN,0.008196721311475308,-0.3509234828496042,649077,0.82,-35.09
2025-05-06,6175,6250,6100,6200,23176000,BREN,0.008130081300812941,-0.34564643799472294,654354,0.81,-34.56
2025-05-07,6250,6550,6100,6100,70037000,BREN,-0.016129032258064502,-0.3562005277044855,643799,-1.61,-35.62
2025-05-08,6175,6250,5925,5950,21520300,BREN,-0.024590163934426257,-0.3720316622691293,627968,-2.46,-37.2
2025-05-09,6000,6150,5900,6000,9024500,BREN,0.008403361344537785,-0.3667546174142481,633245,0.84,-36.68
2025-05-14,6150,6275,6075,6175,17243800,BREN,0.029166666666666563,-0.3482849604221637,651715,2.92,-34.83
2025-05-15,6225,6300,6175,6200,21087000,BREN,0.004048582995951344,-0.34564643799472317,654354,0.4,-34.56
2025-05-16,6200,6825,6150,6675,66787100,BREN,0.0766129032258065,-0.2955145118733511,704485,7.66,-29.55
2025-05-19,6700,6775,6500,6500,27206000,BREN,-0.02621722846441943,-0.31398416886543545,686016,-2.62,-31.4
2025-05-20,6650,6850,6475,6500,42947100,BREN,0.0,-0.31398416886543545,686016,0.0,-31.4
2025-05-21,6500,6550,6300,6500,18383400,BREN,0.0,-0.31398416886543545,686016,0.0,-31.4
2025-05-22,6500,6600,6450,6500,8950800,BREN,0.0,-0.31398416886543545,686016,0.0,-31.4
2025-05-23,6550,6800,6500,6650,18462000,BREN,0.023076923076922995,-0.29815303430079176,701847,2.31,-29.82
2025-05-26,6675,6750,6500,6525,19338300,BREN,-0.018796992481203034,-0.3113456464379949,688654,-1.88,-31.13
2025-05-27,6575,6725,6500,6575,16376900,BREN,0.00766283524904221,-0.30606860158311355,693931,0.77,-30.61
2025-05-28,6625,6675,6500,6500,10009200,BREN,-0.011406844106463865,-0.31398416886543545,686016,-1.14,-31.4
